log time,count,spend time
2024-01-03 10:20:20.430000,3,6.484
2024-01-03 10:37:48.378000,2,2.592
2024-01-03 10:24:30.086000,1,2.571
2024-01-03 10:38:19.725000,1,2.785
2024-01-03 10:42:51.004000,1,2.442
2024-01-03 10:37:47.945000,1,2.32
2024-01-03 10:37:49.239000,2,3.016
2024-01-03 10:23:20.105000,3,4.643
2024-01-03 11:26:57.340000,1,3.135
2024-01-03 11:27:25.829000,2,2.132
2024-01-03 10:37:30.428000,2,3.915
2024-01-03 10:21:38.508000,1,3.284
2024-01-03 09:49:30.008000,4,3.166
2024-01-03 09:49:46.320000,3,5.976
2024-01-03 10:42:19.112000,1,3.849
2024-01-03 09:50:28.362000,1,5.148
2024-01-03 10:42:01.387000,2,3.18
2024-01-03 10:21:04.320000,1,2.141
2024-01-03 10:42:16.848000,1,2.414
2024-01-03 10:20:36.732000,2,2.72
2024-01-03 09:49:07.979000,2,3.327
2024-01-03 10:42:11.694000,1,2.136
2024-01-03 10:22:47.586000,1,2.82
2024-01-03 10:22:45.217000,2,3.877
2024-01-03 11:27:29.488000,1,2.555
2024-01-03 10:44:01.188000,1,2.957
2024-01-03 10:42:35.963000,1,8.966
2024-01-03 10:21:44.418000,4,2.869
2024-01-03 10:43:00.020000,1,2.687
2024-01-03 11:27:12.280000,3,2.492
2024-01-03 10:20:25.473000,2,2.384
2024-01-03 11:27:26.149000,3,2.546
2024-01-03 10:44:01.839000,1,3.141
2024-01-03 10:20:20.108000,6,5.259
2024-01-03 09:49:57.814000,1,4.543
2024-01-03 11:26:55.625000,1,5.233
2024-01-03 10:42:18.033000,1,2.351
2024-01-03 10:24:29.230000,1,2.087
2024-01-03 09:49:09.586000,1,3.387
2024-01-03 10:20:38.557000,6,3.648
2024-01-03 10:39:21.540000,1,2.93
2024-01-03 10:23:03.993000,2,2.056
2024-01-03 09:49:26.149000,4,3.789
2024-01-03 10:20:58.181000,1,2.456
2024-01-03 09:50:47.558000,2,2.695
2024-01-03 10:20:39.850000,4,15.3
2024-01-03 09:49:27.655000,1,4.932
2024-01-03 09:49:59.421000,1,2.143
2024-01-03 09:49:53.958000,1,2.895
2024-01-03 10:42:14.283000,1,5.184
2024-01-03 09:49:33.231000,2,5.928
2024-01-03 10:37:52.366000,1,2.331
2024-01-03 10:37:54.491000,2,2.605
2024-01-03 09:49:44.403000,2,4.325
2024-01-03 11:27:33.785000,1,1.998
2024-01-03 10:42:52.289000,1,2.409
2024-01-03 10:42:31.136000,1,3.131
2024-01-03 10:22:46.942000,1,6.639
2024-01-03 10:43:38.693000,1,1.965
2024-01-03 10:37:19.598000,1,3.073
2024-01-03 11:27:33.568000,1,1.927
2024-01-03 10:42:52.093000,1,2.754
2024-01-03 11:26:57.143000,1,2.836
2024-01-03 11:27:26.918000,2,2.209
2024-01-03 11:27:25.402000,1,2.131
2024-01-03 10:20:38.345000,3,6.316
2024-01-03 09:49:08.522000,1,8.487
2024-01-03 10:23:43.396000,1,8.637
2024-01-03 11:27:31.006000,3,3.775
2024-01-03 10:23:47.897000,1,2.362
2024-01-03 10:20:22.145000,2,2.116
2024-01-03 10:23:05.062000,1,2.254
2024-01-03 09:50:31.146000,2,4.883
2024-01-03 10:20:23.985000,3,6.157
2024-01-03 10:23:29.423000,1,3.118
2024-01-03 10:42:17.732000,2,5.27
2024-01-03 10:20:24.826000,4,2.907
2024-01-03 10:37:34.733000,2,2.214
2024-01-03 10:22:46.487000,1,1.752
2024-01-03 09:49:30.867000,2,5.827
2024-01-03 10:38:57.234000,1,1.938
2024-01-03 09:49:48.493000,2,3.89
2024-01-03 09:49:58.772000,1,3.261
2024-01-03 10:37:57.284000,1,3.17
2024-01-03 10:22:40.387000,3,4.044
2024-01-03 10:23:05.721000,1,2.241
2024-01-03 10:22:42.615000,2,2.909
2024-01-03 10:22:43.160000,1,4.2
2024-01-03 10:24:01.012000,1,2.225
2024-01-03 09:49:28.498000,2,6.337
2024-01-03 10:39:08.438000,1,2.96
2024-01-03 10:38:06.412000,1,1.942
2024-01-03 10:20:41.887000,2,2.668
2024-01-03 10:23:00.029000,3,2.412
2024-01-03 10:23:30.073000,1,3.009
2024-01-03 10:38:06.203000,1,3.117
2024-01-03 11:27:32.930000,1,2.761
2024-01-03 09:50:57.441000,2,2.987
2024-01-03 10:23:04.853000,1,2.472
2024-01-03 10:23:29.858000,1,2.407
2024-01-03 10:20:58.614000,5,7.703
2024-01-03 09:50:34.569000,1,2.423
2024-01-03 10:43:02.832000,1,2.269
2024-01-03 10:42:18.140000,2,2.631
2024-01-03 09:49:45.567000,3,3.215
2024-01-03 10:42:35.634000,2,2.217
2024-01-03 10:37:49.034000,1,2.184
2024-01-03 10:44:02.462000,1,2.766
2024-01-03 09:48:55.289000,4,26.1
2024-01-03 09:49:13.992000,2,4.558
2024-01-03 09:48:58.524000,1,2.663
2024-01-03 10:23:44.573000,1,3.641
